generation,learning_rate,batch_size,num_epoch,optimizer,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,fitness_value,accuracy,precision,recall,f1,evaluation
4.750,0.00577,1,2,2,8,1,13,6,1,5,6,5,13,6,1,4,5,7,4,5,0.16563099016530586,0.7764073371283997,0.6462010744435918,0.7738970588235294,0.7043078209953995,0.7297055199515253
4.875,0.00149,1,1,2,7,2,9,10,3,3,3,13,8,2,2,12,7,10,3,5,0.1421791897046739,0.34408602150537637,0.34408602150537637,1.0,0.512,0.639247311827957
5.000,0.00577,1,1,2,6,2,5,12,3,5,13,8,3,2,11,13,8,3,4,13,0.1568667148339797,0.8010752688172043,0.6628814762242725,0.8584558823529411,0.7480977172607127,0.7785287175007598
5.125,0.01,1,2,2,13,7,2,13,9,2,1,13,4,8,3,13,4,8,5,12,0.1305759811699719,0.7425679949399114,0.6170940170940171,0.6636029411764706,0.6395039858281665,0.6631178285003001
5.250,0.00577,1,1,2,6,3,6,5,11,5,8,5,13,1,13,2,3,12,5,4,0.15355430675441126,0.7593295382669196,0.601113172541744,0.8933823529411765,0.7186691312384474,0.7642775768665238
5.375,0.00577,2,1,2,8,5,4,12,1,12,8,3,1,7,5,2,4,9,5,13,0.13176937413927464,0.7188488298545225,0.5726807888970051,0.7205882352941176,0.6381766381766382,0.6684727479672092
5.500,0.00577,2,1,1,9,5,8,10,3,4,8,4,5,11,12,1,7,5,3,12,0.12528668854973737,0.3440860215053763,0.3440860215053763,1.0,0.512,0.639247311827957
5.625,0.00218,1,2,2,12,3,13,7,2,7,5,4,2,13,4,12,6,4,11,5,0.15390944185963995,0.7612270714737508,0.6032238065716057,0.8943014705882353,0.7204738985560903,0.765809408359518
5.750,0.00173,1,1,2,13,5,6,1,12,1,11,13,6,1,9,4,9,2,1,11,0.13522194268013815,0.7928526249209361,0.7682775712515489,0.5698529411764706,0.654353562005277,0.683901498451641
5.875,0.00577,1,1,2,7,5,1,11,1,8,1,2,6,5,3,1,13,9,1,4,0.15678277883039804,0.797280202403542,0.6557491289198606,0.8648897058823529,0.7459373761395164,0.7781686032497184
6.000,0.00577,1,1,2,6,2,5,12,3,5,13,8,3,2,11,13,8,3,4,13,0.1589079922164729,0.8010752688172043,0.6628814762242725,0.8584558823529411,0.7480977172607127,0.7785287175007598
6.125,0.00577,1,1,2,13,4,8,10,2,13,3,3,9,1,5,2,6,1,2,6,0.1268719531603981,0.3440860215053763,0.3440860215053763,1.0,0.512,0.639247311827957
6.250,0.00577,1,2,1,12,7,3,1,6,3,2,7,3,6,5,5,11,12,2,6,0.14715690077955576,0.7685009487666035,0.6314623338257016,0.7858455882352942,0.7002457002457003,0.7283425212981987
6.375,0.00218,1,1,2,5,7,1,12,4,12,8,3,9,10,5,5,6,1,12,6,0.13406187644190737,0.6878557874762808,0.5319822672577581,0.7720588235294118,0.6299212598425197,0.6711914216237068
6.500,0.00577,1,1,2,4,12,8,5,4,8,3,6,10,2,8,1,11,13,4,1,0.14667943099769812,0.8134092346616065,0.7688984881209503,0.6544117647058824,0.7070506454816287,0.726281611892301
6.625,0.00828,2,1,2,4,13,6,2,9,1,4,9,5,7,3,13,1,13,3,8,0.14544167535792024,0.6916508538899431,0.5313019390581717,0.8814338235294118,0.6629796059453854,0.7209310700365841
6.750,0.00577,1,1,3,7,4,13,3,7,3,2,9,1,9,2,2,11,13,7,3,0.13710330674045362,0.5461733080328905,0.4278586278586279,0.9457720588235294,0.5891783567134269,0.6845826078276861
6.875,0.00218,1,2,2,4,7,1,4,11,2,3,3,6,3,12,5,4,6,4,11,0.14723176546474556,0.7466793168880456,0.595222295952223,0.8244485294117647,0.6913294797687861,0.7286655051961812
