generation,learning_rate,batch_size,num_epoch,optimizer,fitness_value,accuracy,precision,recall,f1,evaluation
3.625,0.00184,2,2,1,0.1405676425974917,0.8137254901960784,0.7077435470441299,0.78125,0.7426823940585409,0.7620178395046612
3.750,0.00186,2,2,2,0.14371569267392229,0.7988614800759013,0.6596045197740112,0.8584558823529411,0.7460063897763578,0.7769390249949077
3.875,0.00527,2,1,2,0.14359273587573848,0.7688172043010753,0.6101172115977791,0.9090073529411765,0.73015873015873,0.7763577737429672
4.000,0.00189,1,2,2,0.14485074129559192,0.8077166350411132,0.6694915254237288,0.8713235294117647,0.7571884984025559,0.7879609491418218
4.125,0.00747,2,2,2,0.14294037030619844,0.7877925363693865,0.6383543463835435,0.8841911764705882,0.7414258188824664,0.7788685579198822
4.250,0.00267,2,2,2,0.14224917083415067,0.8175205566097407,0.7029388403494837,0.8134191176470589,0.7541542394546229,0.775571308385444
4.375,0.00527,2,2,2,0.14212314110236637,0.8064516129032258,0.6768202080237742,0.8373161764705882,0.7485620377978637,0.7749696748007309
4.500,0.00189,1,2,1,0.1418281110513705,0.8111954459203036,0.6889915319476521,0.8226102941176471,0.7498952660242983,0.77356075771868
4.625,0.00189,2,2,2,0.14299558126747308,0.8089816571790006,0.6789940828402367,0.84375,0.7524590163934426,0.779131760429883
4.750,0.00349,2,2,2,0.14198491274582406,0.8029728020240354,0.6698319941563184,0.8428308823529411,0.7464387464387464,0.7743096554183421
4.875,0.00648,1,1,2,0.14389193364106567,0.8330170777988615,0.7389078498293515,0.7959558823529411,0.7663716814159293,0.7834013100588688
5.000,0.00189,1,2,2,0.14505790098416277,0.8077166350411132,0.6694915254237288,0.8713235294117647,0.7571884984025559,0.7879609491418218
5.125,0.00189,2,1,2,0.14122262159901694,0.7776723592662872,0.6262295081967213,0.8777573529411765,0.7309605817068504,0.7697056085456393
5.250,0.00381,1,1,2,0.14553789600733888,0.8143580012650221,0.6816533720087019,0.8639705882352942,0.7620591811917308,0.7902370451619325
5.375,0.00267,2,2,2,0.14245214690499772,0.8175205566097407,0.7029388403494837,0.8134191176470589,0.7541542394546229,0.775571308385444
5.500,0.00485,1,2,2,0.14172292493751223,0.786527514231499,0.6398104265402843,0.8685661764705882,0.7368421052631579,0.772093931547164
5.625,0.00189,1,1,1,0.13977655123006316,0.8026565464895635,0.6784615384615384,0.8106617647058824,0.7386934673366835,0.7627906418770982
5.750,0.00648,1,2,2,0.14451221456532465,0.8086654016445288,0.6733668341708543,0.8621323529411765,0.7561467150342603,0.7853710311122342
5.875,0.00267,2,2,3,0.14259977879391572,0.8029728020240354,0.6683562635771181,0.8483455882352942,0.7476711219117051,0.7762747673626809
6.000,0.00381,1,1,2,0.14482251108742922,0.8143580012650221,0.6816533720087019,0.8639705882352942,0.7620591811917308,0.7902370451619325
6.125,0.00189,1,2,2,0.14434517275684466,0.8077166350411132,0.6694915254237288,0.8713235294117647,0.7571884984025559,0.7879609491418218
6.250,0.00863,1,2,2,0.1428868097743483,0.784629981024668,0.6320571057754705,0.8952205882352942,0.7409661468238874,0.7809952479322306
6.375,0.00381,2,2,2,0.1426827961723152,0.8289057558507273,0.7304128053917439,0.796875,0.7621978021978023,0.7800193830572558
6.500,0.00267,1,2,2,0.14129174871842926,0.7669196710942442,0.608534322820037,0.9044117647058824,0.7275415896487986,0.7733562413235089
6.625,0.00189,2,2,2,0.14249729367457598,0.8089816571790006,0.6789940828402367,0.84375,0.7524590163934426,0.779131760429883
6.750,0.00648,1,1,2,0.14339013074419366,0.8330170777988615,0.7389078498293515,0.7959558823529411,0.7663716814159293,0.7834013100588688
6.875,0.00381,1,2,2,0.14095170730906514,0.8172043010752689,0.7063106796116505,0.8023897058823529,0.7512908777969018,0.7717249657261902
7.000,0.00381,1,1,2,0.14752244411497614,0.8143580012650221,0.6816533720087019,0.8639705882352942,0.7620591811917308,0.7902370451619325
7.125,0.00381,2,1,2,0.14734479454672206,0.8083491461100569,0.6697183098591549,0.8740808823529411,0.7583732057416269,0.7894076347315391
